page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,TWO YEAR  ,TwCenMT-Bold,36.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 91.46402740478516, 257.1759948730469, 129.0840301513672)"
1,MASTERS IN GENETICS ,TwCenMT-Bold,36.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 130.73399353027344, 426.5169982910156, 168.35398864746094)"
1,POST GRADUATE PROGRAMME ,TwCenMT-Bold,26.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 170.0439910888672, 430.33599853515625, 197.2139892578125)"
1,(Semester 1 & 2 effective from 2025) ,TwCenMT-Bold,26.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 198.3240203857422, 474.8659973144531, 225.4940185546875)"
1,DEPARTMENT OF GENETICS ,TwCenMT-Bold,22.0,bold,"(0, 0, 0)",#000000,"(265.6300048828125, 590.0880126953125, 529.3219604492188, 613.0780029296875)"
1,UNIVERSITY OF DELHI SOUTH CAMPUS ,TwCenMT-Bold,22.0,bold,"(0, 0, 0)",#000000,"(161.0800018310547, 613.8480224609375, 529.3219604492188, 636.8380126953125)"
1,EC (1275) - 23.05.2025,"Arial,Bold",10.0,bold,"(0, 0, 0)",#000000,"(7.200439453125, 8.936220169067383, 111.70043182373047, 23.2562198638916)"
1,Appendix-45 ,"Arial,Bold",11.0,bold,"(0, 0, 0)",#000000,"(264.6199951171875, 1.668548583984375, 333.6889953613281, 17.420547485351562)"
1,Resolution No. 7-9,"Arial,Bold",11.0,bold,"(0, 0, 0)",#000000,"(249.343994140625, 14.868548393249512, 345.9020080566406, 30.620548248291016)"
2,2 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(517.469970703125, 779.782958984375, 526.469970703125, 793.0669555664062)"
2,CONTENT PAGE,TwCenMT-Bold,22.0,bold,"(33, 94, 153)",#215E99,"(223.10000610351562, 119.96798706054688, 372.5459899902344, 142.95799255371094)"
2,S No ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(77.7750015258789, 166.29998779296875, 103.26200103759766, 178.29998779296875)"
2,Content ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(126.80000305175781, 166.29998779296875, 169.54200744628906, 178.29998779296875)"
2,    Page ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(460.45001220703125, 166.29998779296875, 498.1620178222656, 178.29998779296875)"
2,1 ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(77.7750015258789, 181.54998779296875, 86.48699951171875, 193.54998779296875)"
2,About the Department ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(126.80000305175781, 181.54998779296875, 243.31201171875, 193.54998779296875)"
2,3 ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(460.45001220703125, 181.54998779296875, 469.1620178222656, 193.54998779296875)"
2,2 ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(77.7750015258789, 196.54998779296875, 86.48699951171875, 208.54998779296875)"
2,Adoption of the New Education Policy (NEP) 2020 ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(126.80000305175781, 196.54998779296875, 376.11199951171875, 208.54998779296875)"
2,5 ,Calibri-Bold,12.0,bold,"(0, 0, 0)",#000000,"(460.45001220703125, 196.54998779296875, 469.1620178222656, 208.54998779296875)"
2,Links and relevant excerpts from NEP 2020 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(126.80000305175781, 211.83001708984375, 338.11199951171875, 223.83001708984375)"
2,Links and relevant excerpts from National Credit Framework ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(126.80000305175781, 227.08001708984375, 422.7679138183594, 239.08001708984375)"
