page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,Calibri-Bold,18.0,bold,"(0, 0, 0)",#000000,"(207.9600067138672, 69.61801147460938, 388.8060302734375, 94.60200500488281)"
1,MASTER OF SCIENCE (MICROBIOLOGY) ,Calibri-Bold,18.0,bold,"(0, 0, 0)",#000000,"(141.50404357910156, 95.66403198242188, 455.280029296875, 120.64802551269531)"
1,Syllabus of Sem 1 and Sem 2 ,Calibri-Bold,18.0,bold,"(0, 0, 0)",#000000,"(180.97805786132812, 124.95004272460938, 415.9320373535156, 149.9340362548828)"
1,based on ,Calibri-Bold,18.0,bold,"(0, 0, 0)",#000000,"(259.71002197265625, 154.23605346679688, 337.218017578125, 179.2200469970703)"
1,NEP-PGCF-2024 ,Calibri-Bold,18.0,bold,"(0, 0, 0)",#000000,"(233.5560302734375, 183.52206420898438, 363.2640380859375, 208.5060577392578)"
1,As approved in the meeting of ‘Committee of Courses’ held on 24,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(66.5999984741211, 238.55491638183594, 438.7414245605469, 257.3404541015625)"
1,th,Calibri,9.0,regular,"(0, 0, 0)",#000000,"(438.7200012207031, 238.6859893798828, 446.4420166015625, 250.7279815673828)"
1," Feb 2025, ",Calibri,14.04,regular,"(0, 0, 0)",#000000,"(446.3999938964844, 238.55491638183594, 508.4807434082031, 257.3404541015625)"
1,in the meeting of ‘Faculty of Interdisciplinary and Applied Sciences’ held on ,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(72.5999984741211, 258.23492431640625, 502.5216064453125, 277.02044677734375)"
1,17,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(63.12299728393555, 277.91900634765625, 77.31743621826172, 296.70452880859375)"
1,th,Calibri,9.0,regular,"(0, 0, 0)",#000000,"(77.27999877929688, 278.04595947265625, 85.00199890136719, 290.0879821777344)"
1," March 2025, and meeting of ‘Standing Committee’ held on 02",Calibri,14.04,regular,"(0, 0, 0)",#000000,"(84.95999908447266, 277.91497802734375, 439.7087097167969, 296.70050048828125)"
1,nd,Calibri,9.0,regular,"(0, 0, 0)",#000000,"(439.67999267578125, 278.04595947265625, 449.0849914550781, 290.0879821777344)"
1, May 2025 ,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(449.0400085449219, 277.91497802734375, 512.0936889648438, 296.70050048828125)"
1,PROGRAMME BROCHURE ,Calibri,24.0,regular,"(0, 0, 0)",#000000,"(171.1199951171875, 413.6159973144531, 427.10400390625, 445.7279968261719)"
1,XXXXX ,Calibri,11.1,regular,"(91, 155, 212)",#5B9BD4,"(66.12000274658203, 744.407958984375, 94.83267211914062, 760.4639892578125)"
1,Revised Syllabus as approved by Academic Council on ,Calibri,11.1,regular,"(0, 0, 0)",#000000,"(94.8018798828125, 744.407958984375, 318.6448059082031, 760.4639892578125)"
1,"XXXX, ",Calibri,11.1,regular,"(91, 155, 212)",#5B9BD4,"(318.59857177734375, 744.407958984375, 344.54888916015625, 760.4639892578125)"
1,2025 and ,Calibri,11.1,regular,"(0, 0, 0)",#000000,"(344.5180358886719, 744.407958984375, 385.4787902832031, 760.4639892578125)"
1,Executive Council on ,Calibri,11.35,regular,"(0, 0, 0)",#000000,"(385.55999755859375, 744.407958984375, 478.3470764160156, 760.4639892578125)"
1,YYYY,Calibri,11.35,regular,"(91, 155, 212)",#5B9BD4,"(478.43505859375, 744.407958984375, 499.49957275390625, 760.4639892578125)"
1,", 2025",Calibri,11.35,regular,"(0, 0, 0)",#000000,"(499.43524169921875, 744.407958984375, 526.4768676757812, 760.4639892578125)"
1,EC (1275) - 23.05.2025,"Arial,Bold",10.0,bold,"(0, 0, 0)",#000000,"(7.200439453125, 8.936220169067383, 111.70043182373047, 23.2562198638916)"
1,Appendix-46 ,"Arial,Bold",11.0,bold,"(0, 0, 0)",#000000,"(264.7749938964844, 1.668548583984375, 333.843994140625, 17.420547485351562)"
1,Resolution No. 7-9,"Arial,Bold",11.0,bold,"(0, 0, 0)",#000000,"(249.49899291992188, 14.868548393249512, 346.0569763183594, 30.620548248291016)"
2,"Department of Microbiology, University of Delhi, M.Sc. Microbiology Syllabus (NEP-PGCF 2024) ",TimesNewRomanPS-ItalicMT,11.04,italic,"(0, 0, 0)",#000000,"(73.91999816894531, 36.34603500366211, 514.1951904296875, 51.029232025146484)"
2,Page | 2  ,TimesNewRomanPSMT,11.04,regular,"(0, 0, 0)",#000000,"(490.0799865722656, 777.2783813476562, 530.1552124023438, 792.1492919921875)"
2,I.,TimesNewRomanPS-BoldMT,15.89,bold,"(0, 0, 0)",#000000,"(72.0, 63.06622314453125, 82.07733917236328, 85.15486145019531)"
2,About the Department ,TimesNewRomanPS-BoldMT,15.96,bold,"(0, 0, 0)",#000000,"(86.16000366210938, 63.06622314453125, 243.1585235595703, 85.15486145019531)"
2,Historical Background of Department ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 92.57372283935547, 301.0906982421875, 112.00508117675781)"
2,"The Department of Microbiology was established in 1984, initially functioning in the ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 122.7239990234375, 507.1197814941406, 138.6840057373047)"
2,University’s main campus at the Patel Chest Institute where classes for the M.Sc. ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 136.52398681640625, 507.1209716796875, 152.48399353027344)"
2,Microbiology program were held. The M.Sc. program was initiated with the enrollment ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 150.323974609375, 507.1209411621094, 166.2839813232422)"
2,of five students each year. The current intake for this program is fifteen students each ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 164.12396240234375, 507.1199645996094, 180.08396911621094)"
2,year. ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 177.9239501953125, 99.36000061035156, 193.8839569091797)"
2,The Department moved to the South Campus in 1986 and became affiliated with the ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 197.72393798828125, 507.1199951171875, 213.68394470214844)"
2,Faculty of Interdisciplinary and Applied Sciences upon its establishment in 1988. The ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 211.52392578125, 507.1199951171875, 227.4839324951172)"
2,students who graduate from our Master’s program take up positions in ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 225.32391357421875, 507.1198425292969, 241.28392028808594)"
2,academia/industry or pursue higher studies. The Microbiology Department started the ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 239.1239013671875, 507.1209716796875, 255.0839080810547)"
2,"Ph.D. program as well in 1988. Since then, more than one hundred students have carried ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 252.92388916015625, 507.11993408203125, 268.8838806152344)"
2,"out their doctoral research work in the Department, and several of them now hold ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(71.99996948242188, 266.723876953125, 507.1199645996094, 282.6838684082031)"
2,leadership positions in academia and industry. ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(71.99996948242188, 280.52386474609375, 300.35992431640625, 296.4838562011719)"
2,Department Highlights ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 313.853759765625, 212.3157501220703, 333.2851257324219)"
2,"The Department is now well established, currently with seven faculty members. ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.12000274658203, 347.00396728515625, 510.4798889160156, 362.9639587402344)"
2,"Extramural grants from DBT, DST, ICMR, CSIR, UGC, ICAR and DRDO, as well as ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.1199951171875, 360.803955078125, 510.4799499511719, 376.7639465332031)"
2,"intramural grants from the University of Delhi, have strengthened the Department’s ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.1199951171875, 374.60394287109375, 510.4798278808594, 390.5639343261719)"
2,"research. The Department has also been funded under the DST-FIST, UGC-SAP and ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.1199951171875, 388.4039306640625, 510.47998046875, 404.3639221191406)"
2,DU-DST PURSE programs. Every faculty member has a well-equipped laboratory with ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11996459960938, 402.20391845703125, 510.4798889160156, 418.1639099121094)"
2,the necessary instruments to carry out research. The departmental Central ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 416.00390625, 510.4798278808594, 431.9638977050781)"
2,Instrumentation Facility houses several pieces of high-end equipment. More than six ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 429.80389404296875, 510.47979736328125, 445.7638854980469)"
2,hundred research papers have been authored by faculty members of the Department in ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 443.6038818359375, 510.4786376953125, 459.5638732910156)"
2,peer-reviewed journals of international repute. The achievements of the Department have ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 457.40386962890625, 510.48095703125, 473.3638610839844)"
2,been recognized in the form of several awards conferred on the Department’s faculty and ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 471.203857421875, 510.48095703125, 487.1638488769531)"
2,students. ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(75.11993408203125, 485.00384521484375, 120.47994232177734, 500.9638366699219)"
2,About the Program ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 512.333740234375, 191.31192016601562, 531.7650756835938)"
2,The M.Sc. Microbiology program offered by Delhi University is of two years’ duration ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 544.7639770507812, 506.9999084472656, 560.7239990234375)"
2,and is divided into four semesters. The various courses of the program are designed to ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 558.6839599609375, 506.9985046386719, 574.6439819335938)"
2,"include classroom teaching and lectures, laboratory work, project work, viva, seminars, ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 572.4840087890625, 507.00103759765625, 588.4440307617188)"
2,and assignments. ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 586.2839965820312, 157.67999267578125, 602.2440185546875)"
2,Six categories of courses are being offered in this program: Department Specific Core ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 606.083984375, 507.2398376464844, 622.0440063476562)"
2,"(DSC) Courses, Department Specific Elective (DSE) Courses, Generic Elective (GE) ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 619.8839721679688, 507.2400207519531, 635.843994140625)"
2,courses (student may opt for any of the Generic Elective courses offered by any other ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00003051757812, 633.6839599609375, 507.2386779785156, 649.6439819335938)"
2,"Department of the Faculty of Interdisciplinary and Applied Sciences), Skill Enhancement ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00003051757812, 647.4840087890625, 507.2398376464844, 663.4440307617188)"
2,"Courses (SEC), Research methods/ tools/ writing courses, and Dissertation/ Problem-",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00003051757812, 661.2839965820312, 504.2760314941406, 677.2440185546875)"
2,based Research work. The Core Courses and Discipline Specific Elective Courses are ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00006103515625, 675.083984375, 507.237548828125, 691.0440063476562)"
2,four-credit courses. The Generic Electives are also four-credit courses. The student is ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00006103515625, 688.884033203125, 507.2399597167969, 704.8440551757812)"
2,required to accumulate twenty-two credits each semester: a total of eighty-eight credits ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.00003051757812, 702.6840209960938, 507.239990234375, 718.64404296875)"
2,over four semesters to fulfill the requirements for a Master of Science degree in ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 716.4840087890625, 507.24102783203125, 732.4440307617188)"
2,"Microbiology (two-year program), and forty-four credits over two semesters to fulfill the ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(71.99998474121094, 730.2839965820312, 507.23980712890625, 746.2440185546875)"
2,requirements for a Master of Science degree in Microbiology (one-year program) . ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(71.99990844726562, 744.083984375, 474.2398376464844, 760.0440063476562)"
2,EC (1275) - 23.05.2025,"Arial,Bold",10.0,bold,"(0, 0, 0)",#000000,"(483.8475341796875, 1.7357807159423828, 588.3505249023438, 16.0557804107666)"
3,"Department of Microbiology, University of Delhi, M.Sc. Microbiology Syllabus (NEP-PGCF 2024) ",TimesNewRomanPS-ItalicMT,11.04,italic,"(0, 0, 0)",#000000,"(73.91999816894531, 36.34603500366211, 514.1951904296875, 51.029232025146484)"
3,Page | 3  ,TimesNewRomanPSMT,11.04,regular,"(0, 0, 0)",#000000,"(490.0799865722656, 777.2783813476562, 530.1552124023438, 792.1492919921875)"
3,About Post-Graduate Attributes ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 77.09374237060547, 267.50701904296875, 96.52510070800781)"
3,The curriculum is designed to train the students in basic and advanced areas of ,TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 109.52398681640625, 507.2386474609375, 125.4839859008789)"
3,"Microbiology, keeping in mind the latest advances in the field. Particular emphasis is ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 123.323974609375, 507.23992919921875, 139.2839813232422)"
3,"laid on the practical aspects of the field. Students are taught how to plan experiments, ",TimesNewRomanPS-ItalicMT,12.0,italic,"(0, 0, 0)",#000000,"(72.0, 137.12396240234375, 507.2398986816406, 153.08396911621094)"
