page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,Calibri-Bold,18,bold,"(0, 0, 0)",#000000,"(207.9600067138672, 69.61801147460938, 388.8060302734375, 94.60200500488281)"
1,MASTER OF SCIENCE (BIOPHYSICS AND BIOINFORMATICS) ,Calibri-Bold,18,bold,"(0, 0, 0)",#000000,"(63.7440185546875, 95.66403198242188, 533.0400390625, 120.64802551269531)"
1,based on ,Calibri-Bold,18,bold,"(0, 0, 0)",#000000,"(259.6920166015625, 124.95004272460938, 337.20001220703125, 149.9340362548828)"
1,NEP-PGCF-2024 ,Calibri-Bold,18,bold,"(0, 0, 0)",#000000,"(233.53802490234375, 154.23605346679688, 363.24603271484375, 179.2200469970703)"
1,As approved in the meeting of ‘Committee of Courses’ held on 24-Feb-2025& ,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(66.23999786376953, 209.2749481201172, 508.84820556640625, 228.0604705810547)"
1,"03-Mar-2025, in the meeting of ‘Faculty of Interdisciplinary and Applied",Calibri,14.04,regular,"(0, 0, 0)",#000000,"(82.4561767578125, 228.9590301513672, 489.57672119140625, 247.7445526123047)"
1,"Sciences’ held on 17-Mar-2025, and in the meeting of ‘Standing Committee’ ",Calibri,14.04,regular,"(0, 0, 0)",#000000,"(70.33966064453125, 248.6431121826172, 504.7499084472656, 267.42864990234375)"
1,held on _____________ ,Calibri,14.04,regular,"(0, 0, 0)",#000000,"(217.717529296875, 268.32720947265625, 357.4913330078125, 287.11273193359375)"
1,PROGRAMME BROCHURE ,Calibri,24,regular,"(0, 0, 0)",#000000,"(171.1199951171875, 404.0159912109375, 427.10400390625, 436.12799072265625)"
1,XXXXX ,Calibri,11.1,regular,"(91, 155, 212)",#5B9BD4,"(66.12000274658203, 734.8079833984375, 94.83267211914062, 750.864013671875)"
1,Revised Syllabus as approved by Academic Council on ,Calibri,11.1,regular,"(0, 0, 0)",#000000,"(94.8018798828125, 734.8079833984375, 318.6448059082031, 750.864013671875)"
1,"XXXX, ",Calibri,11.1,regular,"(91, 155, 212)",#5B9BD4,"(318.59857177734375, 734.8079833984375, 344.54888916015625, 750.864013671875)"
1,2025 and ,Calibri,11.1,regular,"(0, 0, 0)",#000000,"(344.5180358886719, 734.8079833984375, 385.4787902832031, 750.864013671875)"
1,Executive Council on ,Calibri,11.35,regular,"(0, 0, 0)",#000000,"(385.55999755859375, 734.8079833984375, 478.3470764160156, 750.864013671875)"
1,YYYY,Calibri,11.35,regular,"(91, 155, 212)",#5B9BD4,"(478.43505859375, 734.8079833984375, 499.49957275390625, 750.864013671875)"
1,", 2025",Calibri,11.35,regular,"(0, 0, 0)",#000000,"(499.43524169921875, 734.8079833984375, 526.4768676757812, 750.864013671875)"
1,1,"Arial,Bold",11,bold,"(0, 0, 0)",#000000,"(294.72100830078125, 804.208984375, 300.8370056152344, 819.9609985351562)"
1,EC (1275) - 23.05.2025,"Arial,Bold",10,bold,"(0, 0, 0)",#000000,"(7.200439453125, 8.936220169067383, 111.70043182373047, 23.2562198638916)"
1,Appendix-50 ,"Arial,Bold",11,bold,"(0, 0, 0)",#000000,"(264.7749938964844, 1.668548583984375, 333.8440246582031, 17.420547485351562)"
1,Resolution No. 7-10,"Arial,Bold",11,bold,"(0, 0, 0)",#000000,"(246.44000244140625, 14.868548393249512, 349.1139831542969, 30.620548248291016)"
2,I.,TimesNewRomanPS-BoldMT,15.89,bold,"(0, 0, 0)",#000000,"(72.0, 63.06622314453125, 82.07733917236328, 85.15486145019531)"
2,About the Department ,TimesNewRomanPS-BoldMT,15.96,bold,"(0, 0, 0)",#000000,"(86.16000366210938, 63.06622314453125, 243.1585235595703, 85.15486145019531)"
2,Department Highlights ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 101.81371307373047, 212.3157501220703, 121.24507141113281)"
2,The Department of Biophysics was established in 1984 and is part of the FIAS (Faculty of ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 147.9600067138672, 528.3599243164062, 164.12400817871094)"
2,Interdisciplinary and Applied Sciences) at the University of Delhi South Campus. The ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 161.75999450683594, 528.3600463867188, 177.9239959716797)"
2,department currently has five faculty members engaged in various research areas in ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00001525878906, 175.5599822998047, 528.3587036132812, 191.72398376464844)"
2,Biophysics and Bioinformatics. ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00001525878906, 189.35997009277344, 226.6800079345703, 205.5239715576172)"
2,About the Program ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 216.89385986328125, 191.31192016601562, 236.32521057128906)"
2,The M.Sc. Biophysics and Bioinformatics program offered by Delhi University is of two ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 249.12010192871094, 528.239990234375, 265.2840881347656)"
2,years’ duration and is divided into four semesters. The various courses of the program are ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 262.9200744628906, 528.2386474609375, 279.0840759277344)"
2,"designed to include classroom teaching and lectures, hands-on practical and tutorials, dry and ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 276.7200622558594, 528.2399291992188, 292.8840637207031)"
2,"wet laboratory work, and dissertations.  ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 290.5200500488281, 264.6000061035156, 306.6840515136719)"
2,Six categories of courses are being offered in this program: Discipline Specific Core Courses ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00001525878906, 310.3200378417969, 528.4801025390625, 326.4840393066406)"
2,"(DSC), Discipline Specific Elective Courses (DSE), Generic Elective Courses (GE), Skill ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 324.24005126953125, 528.4811401367188, 340.404052734375)"
2,"Based courses (SB), Research methods/ tools/ writing courses under Research Track (RT), ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 338.0400390625, 528.47998046875, 354.20404052734375)"
2,and Dissertation Research work. Students may opt for any Generic Elective courses offered ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 351.84002685546875, 528.478759765625, 368.0040283203125)"
2,by any other Department of the Faculty of Interdisciplinary and Applied Sciences. The Core ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 365.6400146484375, 528.478759765625, 381.80401611328125)"
2,"Courses, the Elective Courses and Generic Electives are four credit courses each. As per the ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 379.44000244140625, 528.4800415039062, 395.60400390625)"
2,"University guidelines, the student is required to accumulate twenty-two credits each semester, ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(71.99996948242188, 393.239990234375, 528.47998046875, 409.40399169921875)"
2,"a total of eighty-eight credits, to fulfill the requirements for a Master of Science (PG) degree ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(71.99996948242188, 407.03997802734375, 528.4801025390625, 423.2039794921875)"
2,in Biophysics and Bioinformatics.  ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 420.8399658203125, 241.91998291015625, 437.00396728515625)"
2,The M.Sc. in Biophysics and Bioinformatics is an interdisciplinary program designed to ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 440.63995361328125, 528.47998046875, 456.803955078125)"
2,"bridge the gap between biology, physics, and computational sciences. The course integrates ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 454.43994140625, 528.478759765625, 470.60394287109375)"
2,"biophysical principles, molecular biology, computational biology, and bioinformatics to ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 468.23992919921875, 528.4800415039062, 484.4039306640625)"
2,"generate, interpret, and analyze large-scale biological datasets. The curriculum integrates ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00006103515625, 482.0399169921875, 528.4801025390625, 498.20391845703125)"
2,theoretical knowledge with practical skills to train students in modern biophysics and ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00006103515625, 495.83990478515625, 528.4797973632812, 512.00390625)"
2,"bioinformatics, making them competent for careers in academia, healthcare, pharmaceuticals, ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 509.6398620605469, 528.4800415039062, 525.8038940429688)"
2,and biotechnology industries. ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.00003051757812, 523.43994140625, 216.60003662109375, 539.6039428710938)"
2,2,"Arial,Bold",11,bold,"(0, 0, 0)",#000000,"(294.72100830078125, 804.208984375, 300.8370056152344, 819.9609985351562)"
2,EC (1275) - 23.05.2025,"Arial,Bold",10,bold,"(0, 0, 0)",#000000,"(483.8475341796875, 1.7357807159423828, 588.3505249023438, 16.0557804107666)"
3,Program Objectives (POs): ,TimesNewRomanPS-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(72.0, 63.29375457763672, 236.92929077148438, 82.72511291503906)"
3,The program aims at equipping the students with advanced knowledge and skills in the area ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 89.99998474121094, 528.35986328125, 106.16397857666016)"
3,"of biophysics and bioinformatics, such as to enable them to address present lacunae in ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 103.79997253417969, 528.3585815429688, 119.9639663696289)"
3,"biological systems understanding, with the following detailed objectives: ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(72.0, 117.59996032714844, 425.639892578125, 133.7639617919922)"
3,1,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(75.12000274658203, 155.5199432373047, 84.12000274658203, 171.68394470214844)"
3,Foundational Knowledge in Biophysics & Bioinformatics ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(87.12000274658203, 155.5199432373047, 367.7998352050781, 171.68394470214844)"
3,•,SymbolMT,9.96,regular,"(0, 0, 0)",#000000,"(75.12000274658203, 171.79019165039062, 79.70159912109375, 183.99118041992188)"
3,"Introduce students to fundamental principles of biophysics, molecular biology, ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(96.95999908447266, 169.3199920654297, 548.7598266601562, 185.48399353027344)"
3,"bioinformatics, and computational biology. ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(75.1199951171875, 183.11997985839844, 285.8399658203125, 199.2839813232422)"
3,•,SymbolMT,9.96,regular,"(0, 0, 0)",#000000,"(75.12000274658203, 199.39016723632812, 79.70159912109375, 211.59115600585938)"
3,"Provide a strong foundation in chemical, physical, and mathematical principles underlying ",TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(96.95999908447266, 196.9199676513672, 548.7599487304688, 213.08396911621094)"
3,biological processes. ,TimesNewRomanPSMT,12,regular,"(0, 0, 0)",#000000,"(75.12002563476562, 210.71995544433594, 178.08001708984375, 226.8839569091797)"
