page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,"Times New Roman,Bold",18.0,bold,"(0, 0, 0)",#000000,"(210.52999877929688, 118.14192962646484, 420.0320739746094, 138.06793212890625)"
1,MASTER OF OPERATIONAL RESEARCH  ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(177.1699981689453, 138.71026611328125, 456.130859375, 154.25254821777344)"
1,(MOR) ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(291.30999755859375, 154.790283203125, 338.3861389160156, 170.3325653076172)"
1,(Effective from Academic Year 2019-20) ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(213.41000366210938, 168.7399139404297, 415.7300109863281, 184.9039764404297)"
1,"MOR Revised Syllabus as approved by Academic Council on XXXX, 2018 and Executive Council on ",TimesNewRoman,11.04,regular,"(0, 0, 0)",#000000,"(87.6240005493164, 651.8583374023438, 540.9601440429688, 666.729248046875)"
1,"YYYY, 2018",TimesNewRoman,11.04,regular,"(0, 0, 0)",#000000,"(283.3900146484375, 664.4583740234375, 342.6527099609375, 679.3292846679688)"
1,Standing Committee on Academic Matters dated 17.08.2018 ,Arial,14.0,regular,"(0, 0, 0)",#000000,"(102.0570068359375, 2.1700124740600586, 481.0369567871094, 20.804012298583984)"
1,                                                                                Annexure No.-41,Arial,14.0,regular,"(0, 0, 0)",#000000,"(105.94900512695312, 18.970012664794922, 522.952880859375, 37.60401153564453)"
2,CONTENTS ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(280.0299987792969, 67.18800354003906, 349.0299987792969, 80.47200775146484)"
2,Page  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(486.0999755859375, 106.80799865722656, 516.7239379882812, 120.09200286865234)"
2,I.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(90.02398681640625, 120.60798645019531, 97.70398712158203, 133.89198303222656)"
2,About the Department  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(126.01998901367188, 120.60798645019531, 255.04397583007812, 133.89198303222656)"
2,1 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.115966796875, 120.60798645019531, 513.115966796875, 133.89198303222656)"
2,II.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(90.02398681640625, 148.2079620361328, 102.38398742675781, 161.49195861816406)"
2,Introduction to CBCS (Choice Based Credit System) ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(126.01998901367188, 148.2079620361328, 398.384033203125, 161.49195861816406)"
2,1,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1280517578125, 148.2079620361328, 510.1280517578125, 161.49195861816406)"
2,Definitions  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 174.00794982910156, 242.08998107910156, 187.2919464111328)"
2,1,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 174.00794982910156, 510.1219482421875, 187.2919464111328)"
2,III.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(90.02399444580078, 213.60792541503906, 107.06399536132812, 226.8919219970703)"
2,MOR Programme Details ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(126.0199966430664, 213.60792541503906, 260.93603515625, 226.89198303222656)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1280517578125, 213.6079864501953, 513.1160888671875, 226.89198303222656)"
2,Programme Objectives ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 239.40797424316406, 301.3940124511719, 252.6919708251953)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.12200927734375, 239.40797424316406, 513.1220092773438, 252.6919708251953)"
2,Programme Specific Outcomes ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 265.2380065917969, 341.7140197753906, 278.5220031738281)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.12200927734375, 265.2380065917969, 513.1220092773438, 278.5220031738281)"
2,Programme Structure ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 291.0379943847656, 296.7139892578125, 304.3219909667969)"
2,3 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 291.0379943847656, 513.1219482421875, 304.3219909667969)"
2,Course Credit Scheme ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 316.8379821777344, 298.3940124511719, 330.1219787597656)"
2,3 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.12200927734375, 316.8379821777344, 513.1220092773438, 330.1219787597656)"
2,Eligibility for Admission ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.05001831054688, 342.6379699707031, 309.1939697265625, 355.9219665527344)"
2,4 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 342.6379699707031, 513.1219482421875, 355.9219665527344)"
2,Assessment of Students’ Performance and  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 368.4379577636719, 401.5, 381.72198486328125)"
2,Scheme of Examinations,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 382.23797607421875, 305.9659729003906, 395.52197265625)"
2,4,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1199951171875, 382.23797607421875, 510.1199951171875, 395.52197265625)"
2,Pass Percentage & Promotion Criteria ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 408.0379943847656, 380.35394287109375, 421.3219909667969)"
2,5 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 408.0379943847656, 513.1219482421875, 421.3219909667969)"
2,Conversion of Marks into Grades  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 433.8580017089844, 363.07403564453125, 447.1419982910156)"
2,5 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.12200927734375, 433.8580017089844, 513.1220092773438, 447.1419982910156)"
2,Division of Degree into Classes ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 459.6579895019531, 340.39398193359375, 472.9419860839844)"
2,6 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 459.6579895019531, 513.1219482421875, 472.9419860839844)"
2,Attendance Requirement ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 485.4579772949219, 312.0699768066406, 498.7419738769531)"
2,6 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.11798095703125, 485.4579772949219, 513.1179809570312, 498.7419738769531)"
2,Span Period  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0499725341797, 511.2579650878906, 255.04998779296875, 524.5419311523438)"
2,6 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.1219482421875, 511.2579650878906, 513.1219482421875, 524.5419311523438)"
2,Guidelines for the Award of Internal Assessment  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.0500030517578, 537.0579833984375, 436.0579833984375, 550.3419799804688)"
2,Marks for MOR Programme (Semester Wise) ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(180.04998779296875, 550.85791015625, 417.93798828125, 564.1419677734375)"
2,6 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(504.12200927734375, 550.8579711914062, 513.1220092773438, 564.1419677734375)"
2,IV.,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(90.02398681640625, 578.4579467773438, 106.35598754882812, 591.741943359375)"
2,Semester Wise Details of MOR Programme  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(126.01998901367188, 578.4579467773438, 363.0680236816406, 591.7420043945312)"
