page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,Page ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(271.1300048828125, 742.4039916992188, 297.27801513671875, 755.68798828125)"
1,1,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(297.2900085449219, 742.4039916992188, 303.2900085449219, 755.68798828125)"
1, of ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(303.2900085449219, 742.4039916992188, 319.3940124511719, 755.68798828125)"
1,18,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(319.3699951171875, 742.4039916992188, 331.3699951171875, 755.68798828125)"
1,UNIVERSITY OF DELHI SOUTH CAMPUS ,Times New Roman,18.0,regular,"(0, 0, 0)",#000000,"(177.02000427246094, 59.081993103027344, 518.6799926757812, 79.00799560546875)"
1,"   Benito Juarez Road, New Delhi 110021 ",Times New Roman,14.04,regular,"(0, 0, 0)",#000000,"(193.4600067138672, 79.67034912109375, 430.6600036621094, 95.21263122558594)"
1,  Website: www.du.ac.in and www.south.du.ac.in ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(185.3000030517578, 96.00801086425781, 438.42999267578125, 109.2920150756836)"
1,Ref. No. SDC/GB/Cafeteria Services/2014-15 ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 123.36799621582031, 314.69000244140625, 136.65199279785156)"
1,     Dated: 01,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(378.07000732421875, 123.36799621582031, 439.989990234375, 136.65199279785156)"
1,st,Times New Roman,8.04,regular,"(0, 0, 0)",#000000,"(439.989990234375, 121.37633514404297, 445.3450927734375, 130.276611328125)"
1," October, 2014 ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(445.3900146484375, 123.36799621582031, 520.0599975585938, 136.65199279785156)"
1,CAFETERIA SERVICES TENDER ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(217.00999450683594, 151.20802307128906, 406.75, 164.4920196533203)"
1,NOTICE INVITING TENDER    ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(229.97000122070312, 178.80799865722656, 402.6700134277344, 192.0919952392578)"
1,Sealed tenders are invited from reputed contractors/cafeteria service providers for the ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 206.16798400878906, 533.6740112304688, 219.4519805908203)"
1,provision of cafeteria services in the cafeteria of University of Delhi South Campus ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 219.9679718017578, 533.5780029296875, 233.25196838378906)"
1,(UDSC). ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 233.7680206298828, 135.97999572753906, 247.05201721191406)"
1,"The cafeteria in University of Delhi, South Campus is run in a beautifully designed ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 261.3980407714844, 533.6920166015625, 274.6820373535156)"
1,building with two big dinning halls with a seating capacity of 90 persons each (approx) and ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 275.1980285644531, 533.7400512695312, 288.4820251464844)"
1,a small hall (The covered area of the Ground floor is 397 sqm. and first floor is 310 sqm.). ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 288.8780212402344, 533.3040161132812, 302.1620178222656)"
1,The entire building is centrally air-conditioned with provision for all the basic amenities. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 302.6780090332031, 533.6140747070312, 315.9620056152344)"
1,The University seeks to hire cafeteria services for managing this cafeteria which is run for ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 316.47802734375, 533.6739501953125, 329.76202392578125)"
1,"the benefit of University’s students, faculty members and administrative staff. The ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 330.27801513671875, 533.4000244140625, 343.56201171875)"
1,interested   contractors/cafeteria service providers may also visit the cafeteria before ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 344.0780029296875, 533.72802734375, 357.36199951171875)"
1,submitting their proposal. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 357.8780212402344, 216.77000427246094, 371.1620178222656)"
1,Tender documents may be purchased from the,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 385.47802734375, 325.6080017089844, 398.76202392578125)"
1,"""Deputy Registrar, General Branch, II",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(331.1499938964844, 385.47802734375, 522.7539672851562, 398.76202392578125)"
1,nd,Times New Roman,8.04,regular,"(0, 0, 0)",#000000,"(522.5800170898438, 383.4863586425781, 530.6800537109375, 392.3866271972656)"
1,"Floor, Administrative Block, University of Delhi South Campus New Delhi-110 021"" on ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 399.27801513671875, 533.7160034179688, 412.56201171875)"
1,any working day between,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 413.0980224609375, 213.71600341796875, 426.38201904296875)"
1,10.00 AM to 05.00 PM,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(216.77000427246094, 413.0980224609375, 328.8260192871094, 426.38201904296875)"
1,upto 27,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(334.989990234375, 413.0980224609375, 371.3500061035156, 426.38201904296875)"
1,th,Times New Roman,8.04,regular,"(0, 0, 0)",#000000,"(371.3500061035156, 411.08636474609375, 377.6500244140625, 419.98663330078125)"
1," October, 2014 against payment ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(377.7099914550781, 413.0980224609375, 533.6619873046875, 426.38201904296875)"
1,of crossed demand draft (Non Refundable) of ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 427.13800048828125, 318.5040283203125, 440.4219970703125)"
1,`,Rupee Foradian,12.0,regular,"(0, 0, 0)",#000000,"(319.8500061035156, 426.6940002441406, 325.8500061035156, 440.7099914550781)"
1,"500/- in favour of Director, University of ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(325.8699951171875, 427.13800048828125, 533.7399291992188, 440.4219970703125)"
1,"Delhi, South Campus. The tender document is also available on University of Delhi web ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 440.9380187988281, 533.4739379882812, 454.2220153808594)"
1,site ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 454.7380065917969, 109.69200134277344, 468.0220031738281)"
1,www.du.ac.in,Times New Roman,12.0,regular,"(0, 0, 255)",#0000FF,"(109.81999969482422, 454.7380065917969, 176.63600158691406, 468.0220031738281)"
1, and ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(176.66000366210938, 454.7380065917969, 200.16799926757812, 468.0220031738281)"
1,www.south.du.ac.in,Times New Roman,12.0,regular,"(0, 0, 255)",#0000FF,"(200.3300018310547, 454.7380065917969, 296.281982421875, 468.0220031738281)"
1, which can be downloaded by the vendors. If the ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(296.3299865722656, 454.7380065917969, 533.6259765625, 468.0220031738281)"
1,"tender documents are downloaded from our website, the bidder has to pay the cost of ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 468.53802490234375, 533.3640747070312, 481.822021484375)"
1,tender documents through demand draft at the time of submission of tender. ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 482.3380126953125, 457.6300048828125, 495.62200927734375)"
1,The rates may be quoted in Indian rupees. Completed tender along with all the documents ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 509.9380187988281, 533.614013671875, 523.2219848632812)"
1,"must reach the office of Deputy Registrar, University of Delhi South Campus, Benito ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 523.7379760742188, 533.7160034179688, 537.02197265625)"
1,"Juarez Road, New Delhi-110021 on or before 27",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 537.5379638671875, 323.92999267578125, 550.8219604492188)"
1,th,Times New Roman,8.04,regular,"(0, 0, 0)",#000000,"(323.92999267578125, 535.54638671875, 330.2300109863281, 544.4466552734375)"
1," October, 2014 by 03.00 PM. ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(330.30999755859375, 537.5379638671875, 473.3800048828125, 550.8219604492188)"
1,Tenders are liable to be rejected if any of the conditions contained in tender document are ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 565.1380004882812, 533.3040771484375, 578.4219970703125)"
1,"not complied with. Amendment/corrigendum, if any in the tender document shall appear ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 578.968017578125, 533.4600830078125, 592.2520141601562)"
1,"only in the web site of University of Delhi, South Campus.  ",Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 592.7680053710938, 378.7900085449219, 606.052001953125)"
1,Incomplete or conditional tender or tenders submitted after the due date would be ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 620.3679809570312, 533.3519897460938, 633.6519775390625)"
1,summarily rejected. University of Delhi reserves the right to cancel any or all tenders ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 634.16796875, 533.3279418945312, 647.4519653320312)"
1,without assigning any reason thereof.  ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 647.968017578125, 275.57000732421875, 661.2520141601562)"
1,DEPUTY REGISTRAR,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(406.989990234375, 714.9239501953125, 530.7279663085938, 728.2079467773438)"
2,Page ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(271.1300048828125, 742.4039916992188, 297.27801513671875, 755.68798828125)"
2,2,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(297.2900085449219, 742.4039916992188, 303.2900085449219, 755.68798828125)"
2, of ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(303.2900085449219, 742.4039916992188, 319.3940124511719, 755.68798828125)"
2,18,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(319.3699951171875, 742.4039916992188, 331.3699951171875, 755.68798828125)"
2,                  UNIVERSITY OF DELHI SOUTH CAMPUS,Times New Roman,18.0,regular,"(0, 0, 0)",#000000,"(101.30000305175781, 59.081993103027344, 519.2359619140625, 79.00799560546875)"
