page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(232.9199981689453, 267.9271545410156, 365.2919921875, 279.9271545410156)"
1,MASTER OF ARTS ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(247.32000732421875, 322.40716552734375, 351.0119934082031, 334.40716552734375)"
1,Psychology ,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(268.91998291015625, 367.6981506347656, 329.2919921875, 379.6981506347656)"
1,Effective from the Year 2019-2020 ,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(209.63998413085938, 385.6981506347656, 388.572021484375, 397.6981506347656)"
1,PROGRAMME BROCHURE,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(220.0800018310547, 506.0581359863281, 375.1104431152344, 518.0581665039062)"
2,~ 1 ~ ,Cambria,14.04,regular,"(0, 0, 0)",#000000,"(280.68768310546875, 778.909423828125, 317.6128845214844, 792.949462890625)"
2,CONTENTS ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(266.2799987792969, 73.7671890258789, 331.9320068359375, 85.7671890258789)"
2,S.no. ,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(120.0, 109.81816101074219, 148.3199920654297, 121.81816101074219)"
2,Title ,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(258.8399963378906, 109.81816101074219, 285.8399963378906, 121.81816101074219)"
2,Page No. ,"TimesNewRoman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(431.1719970703125, 109.69816589355469, 479.531982421875, 121.69816589355469)"
2,1. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 133.40721130371094, 125.63999938964844, 145.40721130371094)"
2,Affiliation ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 133.40721130371094, 216.1199951171875, 145.40721130371094)"
2,3 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(511.6919860839844, 133.28721618652344, 520.6920166015625, 145.28721618652344)"
2,2. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 157.28721618652344, 125.63999938964844, 169.28721618652344)"
2,Preamble ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 157.28721618652344, 210.83999633789062, 169.28721618652344)"
2,3-4 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(501.73199462890625, 157.1671600341797, 520.6920166015625, 169.1671600341797)"
2,3. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 181.1671600341797, 125.63999938964844, 193.1671600341797)"
2,Vision ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 181.1671600341797, 197.51998901367188, 193.1671600341797)"
2,4 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(511.6919860839844, 181.04722595214844, 520.6920166015625, 193.04722595214844)"
2,4. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 205.04722595214844, 125.63999938964844, 217.04722595214844)"
2,Objectives ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 205.04722595214844, 216.83999633789062, 217.04722595214844)"
2,4 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(511.6919860839844, 204.9271697998047, 520.6920166015625, 216.9271697998047)"
2,5. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 228.8071746826172, 125.63999938964844, 240.8071746826172)"
2,Structure of the Courses ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 228.8071746826172, 281.760009765625, 240.8071746826172)"
2,4-5 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(501.73199462890625, 228.6871795654297, 520.6920166015625, 240.6871795654297)"
2,6. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 252.6871795654297, 125.63999938964844, 264.6871643066406)"
2,Principles kept in mind while drafting the ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 252.6871795654297, 365.4277648925781, 264.6871643066406)"
2,course ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 268.6471862792969, 196.79998779296875, 280.6471862792969)"
2,5 ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(511.6919860839844, 252.5671844482422, 520.6920166015625, 264.5671691894531)"
2,7. ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(113.63999938964844, 284.4871520996094, 125.63999938964844, 296.4871520996094)"
2,Program Structure ,TimesNewRoman,12.0,regular,"(0, 0, 0)",#000000,"(162.47999572753906, 284.4871520996094, 253.79998779296875, 296.4871520996094)"
