page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,"Department of Political Science, University of Delhi ",TimesNewRomanPS-BoldItalicMT,12.0,"bold, italic","(0, 0, 0)",#000000,"(169.0800018310547, 14.308000564575195, 429.17999267578125, 27.591999053955078)"
1,1 | ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(473.45001220703125, 815.0579833984375, 487.70001220703125, 828.3419799804688)"
1,P a g e,TimesNewRomanPSMT,12.0,regular,"(127, 127, 127)",#7F7F7F,"(487.70001220703125, 815.0579833984375, 520.0039672851562, 828.3419799804688)"
1,UNIVERSITY OF DELHI ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(229.10000610351562, 72.58802795410156, 368.8999938964844, 85.87203216552734)"
1,MASTER OF ARTS in POLITICAL SCIENCE ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(174.5800018310547, 100.08802795410156, 423.42999267578125, 113.37203216552734)"
1,(M.A. in Political Science) ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(231.10000610351562, 127.85798645019531, 367.1499938964844, 141.14198303222656)"
1,(,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(197.8300018310547, 155.3579864501953, 201.8260040283203, 168.64198303222656)"
1,Effective from Academic Year 2019-20) ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(201.8300018310547, 155.3579864501953, 400.1700134277344, 168.64198303222656)"
1,PROGRAMME BROCHURE ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(224.60000610351562, 196.8579864501953, 373.3999938964844, 210.14198303222656)"
1,"Revised Syllabus as approved by Academic Council on 15/16 July, 2019 and Executive ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(87.0250015258789, 348.65802001953125, 510.8879089355469, 361.9420166015625)"
1,"Council on 20/21 July, 2019 ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(229.35000610351562, 362.40802001953125, 368.6499938964844, 375.6920166015625)"
1,"Department of Political Science, University of Delhi ",TimesNewRomanPS-BoldItalicMT,12.0,"bold, italic","(0, 0, 0)",#000000,"(169.0800018310547, 376.1780090332031, 429.17999267578125, 389.4620056152344)"
2,Table of Contents ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 110.35798645019531, 166.3300018310547, 123.6419906616211)"
2,I. About the Department,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 138.1079864501953, 198.68504333496094, 151.39198303222656)"
2, .................................................................................................................... 3 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(198.8300018310547, 138.1079864501953, 560.719970703125, 151.39198303222656)"
2,1.1 About the Programme:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 156.8579864501953, 209.20901489257812, 170.14198303222656)"
2, ................................................................................................................. 4 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(209.35000610351562, 156.8579864501953, 560.719970703125, 170.14198303222656)"
2,1.2 About the Process of Course Development Involving Diverse Stakeholders,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 170.6079864501953, 468.1807861328125, 183.89198303222656)"
2, .......................... 4 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(468.95001220703125, 170.6079864501953, 560.719970703125, 183.89198303222656)"
2,II. Introduction to CBCS (Choice Based Credit System),TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 184.3880157470703, 356.89599609375, 197.67201232910156)"
2, ................................................................ 5 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(356.8999938964844, 184.3880157470703, 560.719970703125, 197.67201232910156)"
2,III. M.A. Political Science Programme Details:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 203.1380157470703, 310.35699462890625, 216.42201232910156)"
2, ............................................................................... 6 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(310.6300048828125, 203.1380157470703, 560.719970703125, 216.42201232910156)"
2,IV. Semester wise Details of M.A.in Political Science Course,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 222.1380157470703, 378.87689208984375, 235.42201232910156)"
2, ........................................................ 9 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(379.1499938964844, 222.1380157470703, 560.719970703125, 235.42201232910156)"
2,4.1 Semester wise Details,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 240.8880157470703, 199.62103271484375, 254.17201232910156)"
2, .................................................................................................................... 9 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(200.0800018310547, 240.8880157470703, 560.719970703125, 254.17201232910156)"
2,4.2 List of Elective Course (wherever applicable to be mentioned area wise),TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 254.6380157470703, 456.2648010253906, 267.9220275878906)"
2, ............................ 10 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(456.95001220703125, 254.6380157470703, 560.719970703125, 267.9220275878906)"
2,4.3 Eligibility for Admission:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 268.4079895019531, 219.9610137939453, 281.6919860839844)"
2, ........................................................................................................... 13 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(220.10000610351562, 268.4079895019531, 560.719970703125, 281.6919860839844)"
2,4.4 Reservations/ Concessions:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 282.15802001953125, 228.3970489501953, 295.4420166015625)"
2, ........................................................................................................ 14 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(228.35000610351562, 282.15802001953125, 560.719970703125, 295.4420166015625)"
2,4.5 Seats and Reservations:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 296.15802001953125, 212.1730499267578, 309.4420166015625)"
2, .............................................................................................................. 15 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(212.10000610351562, 296.15802001953125, 560.719970703125, 309.4420166015625)"
2,4.6 Admission procedure:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 309.90802001953125, 203.67703247070312, 323.1920166015625)"
2, ................................................................................................................. 15 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(203.8300018310547, 309.90802001953125, 560.719970703125, 323.1920166015625)"
2,4.7 Assessment of Students’ Performance and Scheme of Examinations:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 323.65802001953125, 438.3158874511719, 336.9420166015625)"
2, .................................. 15 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(438.42999267578125, 323.65802001953125, 560.719970703125, 336.9420166015625)"
2,4.8. Promotion Rules,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 337.40802001953125, 179.14901733398438, 350.6920166015625)"
2, ......................................................................................................................... 16 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(179.3300018310547, 337.40802001953125, 560.719970703125, 350.6920166015625)"
2,5. Open Electives:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 351.1780090332031, 164.2210235595703, 364.4620056152344)"
2, .............................................................................................................................. 16 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(164.3300018310547, 351.1780090332031, 560.719970703125, 364.4620056152344)"
2,6 . Division Criteria:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 365.1780090332031, 177.01602172851562, 378.4620056152344)"
2, ......................................................................................................................... 16 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(177.3300018310547, 365.1780090332031, 560.719970703125, 378.4620056152344)"
2,7. Span Period:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 378.9280090332031, 150.98501586914062, 392.2120056152344)"
2, .................................................................................................................................. 16 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(151.0800018310547, 378.9280090332031, 560.719970703125, 392.2120056152344)"
2,8. Conversion of Marks into Grades:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 392.6780090332031, 259.9210205078125, 405.9620056152344)"
2, .............................................................................................. 16 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(260.1000061035156, 392.6780090332031, 560.719970703125, 405.9620056152344)"
2,9. Attendance Requirement:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 406.4280090332031, 216.92506408691406, 419.7120056152344)"
2, ............................................................................................................ 17 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(217.10000610351562, 406.4280090332031, 560.719970703125, 419.7120056152344)"
2,10. Guidelines for the Award of Internal Assessment Marks in MA Political Science ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 420.1780090332031, 501.4807434082031, 433.4620056152344)"
2,Programme,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 433.9580078125, 133.0810089111328, 447.24200439453125)"
2, ........................................................................................................................................ 17 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(133.3000030517578, 433.9580078125, 560.719970703125, 447.24200439453125)"
2,V: Course Wise Content Details for MA (Political Science) Programme:,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 447.9580078125, 438.4178771972656, 461.24200439453125)"
2, .................................. 18 ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(438.9200134277344, 447.9580078125, 560.719970703125, 461.24200439453125)"
3,"Department of Political Science, University of Delhi ",TimesNewRomanPS-BoldItalicMT,12.0,"bold, italic","(0, 0, 0)",#000000,"(180.8300018310547, 14.308000564575195, 440.9200134277344, 27.591999053955078)"
3,3 | ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(497.20001220703125, 729.282958984375, 511.45001220703125, 742.5669555664062)"
3,P a g e,TimesNewRomanPSMT,12.0,regular,"(127, 127, 127)",#7F7F7F,"(511.4800109863281, 729.282958984375, 543.7840576171875, 742.5669555664062)"
3,I. About the Department ,TimesNewRomanPS-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(72.0250015258789, 72.58802795410156, 201.8300018310547, 85.87203216552734)"
3,The Department of Political Science is a premier seat of learning and centre of knowledge ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 100.08802795410156, 549.3129272460938, 113.37203216552734)"
3,production in India. The Department provides academic leadership to the single largest fraternity ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 114.10798645019531, 549.4207763671875, 127.3919906616211)"
3,"of students, scholars and faculty doing Political Science in the country. It enjoys an exceptional ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 127.85798645019531, 549.8139038085938, 141.14198303222656)"
3,reputation in both teaching and research in the discipline. The Department was established in ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 141.6079864501953, 549.7278442382812, 154.89198303222656)"
3,"1952, with about 40 postgraduate students. Since then the strength of the students has gone ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 155.3579864501953, 549.4088134765625, 168.64198303222656)"
3,beyond 800. ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 169.1079864501953, 134.3000030517578, 182.39198303222656)"
3,The growth of the Department has coincided with the progress of the discipline of Political ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 196.8880157470703, 549.5657958984375, 210.17201232910156)"
3,Science from a narrow body of legal and institutional knowledge to more comprehensive social ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 210.6380157470703, 549.3607788085938, 223.92201232910156)"
3,"sciences discipline that integrates and interrogates sociological, economic, philosophical and ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 224.3880157470703, 549.4088134765625, 237.67201232910156)"
3,"cultural dimensions and thereby better relates to a purposive study of politics, especially keeping ",TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 238.1380157470703, 549.438720703125, 251.42201232910156)"
3,Indian realities in focus. ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 252.1380157470703, 191.0800018310547, 265.4220275878906)"
3,The Department has been granted the Centre for Advanced Studies status by University Grants ,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(72.0250015258789, 279.65802001953125, 549.4088134765625, 292.9420166015625)"
