page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,"Times New Roman,Bold",21.96,bold,"(0, 0, 0)",#000000,"(180.77000427246094, 72.97361755371094, 436.8699951171875, 97.28334045410156)"
1,MASTER OF ARTS ,"Times New Roman,Bold",15.96,bold,"(0, 0, 0)",#000000,"(235.3699951171875, 107.95963287353516, 380.739990234375, 125.62734985351562)"
1,(Acronym for the Course) ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(228.41000366210938, 136.19036865234375, 387.1000061035156, 151.73265075683594)"
1,(Effective from Academic year 2018-19) ,Times New Roman,14.04,regular,"(0, 0, 0)",#000000,"(191.3300018310547, 161.9903564453125, 424.33001708984375, 177.5326385498047)"
1,PROGRAMME BROCHURE (M.A.) ,Times New Roman,18.0,regular,"(0, 0, 0)",#000000,"(169.4600067138672, 273.3320007324219, 447.0400085449219, 293.25799560546875)"
1,Department of Philosophy ,"Times New Roman,Bold",15.0,bold,"(0, 0, 0)",#000000,"(221.80999755859375, 604.85498046875, 393.94000244140625, 621.4599609375)"
1,Faculty of Arts ,"Times New Roman,Bold",15.0,bold,"(0, 0, 0)",#000000,"(257.69000244140625, 622.0150146484375, 358.05999755859375, 638.6199951171875)"
1,University of Delhi ,"Times New Roman,Bold",15.0,bold,"(0, 0, 0)",#000000,"(245.57000732421875, 639.2950439453125, 370.17999267578125, 655.9000244140625)"
1,Delhi-110007,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(266.69000244140625, 656.4703369140625, 345.345703125, 672.0126342773438)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(516.0999755859375, 36.34797668457031, 525.1199951171875, 49.63197708129883)"
2,2 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(516.0999755859375, 742.6439819335938, 525.1199951171875, 755.927978515625)"
2,University of Delhi ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(249.64999389648438, 72.4703369140625, 365.9800109863281, 88.01261901855469)"
2,Examination Branch ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(243.52999877929688, 88.55035400390625, 371.9800109863281, 104.09263610839844)"
2,Date: 18,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(425.3800048828125, 118.32801818847656, 468.2200012207031, 131.6120147705078)"
2,June 2018 ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(470.260009765625, 118.32801818847656, 525.1199951171875, 131.6120147705078)"
2,Courses: M. A. in Philosophy ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(231.0500030517578, 145.92799377441406, 384.07000732421875, 159.2119903564453)"
2,Check List of new Course evaluation for AC Consideration ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(90.02400207519531, 173.52796936035156, 395.7099914550781, 186.8119659423828)"
2,S.No. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 205.68800354003906, 197.3300018310547, 218.9720001220703)"
2,Parameters ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 205.68800354003906, 273.6499938964844, 218.9720001220703)"
2,Status ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(496.29998779296875, 205.68800354003906, 531.3599853515625, 218.9720001220703)"
2,1. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 240.6079864501953, 178.97000122070312, 253.89198303222656)"
2,About the Department  ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 240.6079864501953, 333.42999267578125, 253.89198303222656)"
2,2,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 275.6780090332031, 172.94000244140625, 288.9620056152344)"
2,Introduction to CBCS,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 275.6780090332031, 324.7539978027344, 288.9620056152344)"
2,3. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 310.718017578125, 178.97000122070312, 324.00201416015625)"
2,Programme Structure ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 310.718017578125, 328.0299987792969, 324.00201416015625)"
2,4. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 345.63800048828125, 178.97000122070312, 358.9219970703125)"
2,Codification of Papers ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 345.63800048828125, 329.1099853515625, 358.9219970703125)"
2,5. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 380.6780090332031, 178.97000122070312, 393.9620056152344)"
2,Scheme of Examinations ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 380.6780090332031, 340.3900146484375, 393.9620056152344)"
2,6. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 415.7380065917969, 178.97000122070312, 429.0220031738281)"
2,Pass Percentage ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 415.7380065917969, 296.7099914550781, 429.0220031738281)"
2,7. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 450.65802001953125, 178.97000122070312, 463.9420166015625)"
2,Promotion Criteria ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 450.65802001953125, 313.3900146484375, 463.9420166015625)"
2,8. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 485.6980285644531, 178.97000122070312, 498.9820251464844)"
2,Division Criteria ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 485.6980285644531, 300.6700134277344, 498.9820251464844)"
2,9. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 520.7379760742188, 178.97000122070312, 534.02197265625)"
2,Qualifying Papers ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 520.7379760742188, 307.3900146484375, 534.02197265625)"
2,10. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 555.657958984375, 184.97000122070312, 568.9419555664062)"
2,Span Period ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 555.657958984375, 277.3699951171875, 568.9419555664062)"
2,11. ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(166.94000244140625, 590.7279663085938, 184.97000122070312, 604.011962890625)"
2,Attendance Requirements ,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(211.3699951171875, 590.7279663085938, 348.07000732421875, 604.011962890625)"
