page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,GEETANJALI HOSTEL,"TimesNewRomanPSMT,Bold",21.79,bold,"(0, 0, 0)",#000000,"(787.8078002929688, 212.5371856689453, 1022.9369506835938, 234.3291778564453)"
1,FOR POST-GRADUATE WOMEN STUDENTS ,"TimesNewRomanPSMT,Bold",16.95,bold,"(0, 0, 0)",#000000,"(729.6575927734375, 236.02748107910156, 1085.323974609375, 252.97647094726562)"
1,University of Delhi South Campus,"TimesNewRomanPSMT,Bold",14.0,bold,"(0, 0, 0)",#000000,"(802.9990234375, 375.1127624511719, 1007.5669555664062, 389.1127624511719)"
1,Bulletin of information for the year 2015-2016,"TimesNewRomanPSMT,Bold",14.0,bold,"(0, 0, 0)",#000000,"(767.8992919921875, 659.6848754882812, 1042.6925048828125, 673.6848754882812)"
2,(3),ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(898.5169067382812, 724.062744140625, 911.958984375, 735.062744140625)"
2,(2),ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(295.1568908691406, 724.062744140625, 308.598876953125, 735.062744140625)"
2,TABLE OF CONTENTS,"ArialMT,Bold",12.0,bold,"(0, 0, 0)",#000000,"(237.46200561523438, 59.87040710449219, 365.9054870605469, 71.87040710449219)"
2,S.No,"ArialMT,Bold",11.0,bold,"(0, 0, 0)",#000000,"(68.20480346679688, 110.2253189086914, 93.26280212402344, 121.2253189086914)"
2,Description,"ArialMT,Bold",11.0,bold,"(0, 0, 0)",#000000,"(124.23190307617188, 110.2253189086914, 184.7428741455078, 121.2253189086914)"
2,Page No. ,"ArialMT,Bold",11.0,bold,"(0, 0, 0)",#000000,"(477.4031982421875, 110.2253189086914, 527.5302124023438, 121.2253189086914)"
2,1.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20449829101562, 134.8020477294922, 77.37849426269531, 145.8020477294922)"
2,Admission Procedure,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23159790039062, 134.8020477294922, 228.7645721435547, 145.8020477294922)"
2,3 ,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(518.3533935546875, 134.8020477294922, 527.5274047851562, 145.8020477294922)"
2,2.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20428466796875, 159.3789520263672, 77.37828063964844, 170.3789520263672)"
2,Eligibility for Admission,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23138427734375, 159.3789520263672, 236.09617614746094, 170.3789520263672)"
2,3-4,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(508.57220458984375, 159.3789520263672, 524.46728515625, 170.3789520263672)"
2,3.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20401000976562, 183.95567321777344, 77.37800598144531, 194.95567321777344)"
2,Renewal of Admission,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23110961914062, 183.95567321777344, 232.44430541992188, 194.95567321777344)"
2,4,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(518.3526000976562, 183.95567321777344, 524.4686279296875, 194.95567321777344)"
2,4.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.2034912109375, 208.53257751464844, 77.37748718261719, 219.53257751464844)"
2,Duration of Stay,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.2305908203125, 208.53257751464844, 203.10057067871094, 219.53257751464844)"
2,4-5,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(508.5716857910156, 208.53257751464844, 524.4667358398438, 219.53257751464844)"
2,5.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.2034912109375, 233.10948181152344, 77.37748718261719, 244.10948181152344)"
2,Redressal of Grievances,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.2305908203125, 233.10948181152344, 244.65855407714844, 244.10948181152344)"
2,5,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(518.3524169921875, 233.10948181152344, 524.4684448242188, 244.10948181152344)"
2,6.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20330810546875, 257.6861877441406, 77.37730407714844, 268.6861877441406)"
2,Guests of Bonafide Residents and Other Guests,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23040771484375, 257.6861877441406, 359.6304626464844, 268.6861877441406)"
2,5-6,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(508.5715026855469, 257.6861877441406, 524.466552734375, 268.6861877441406)"
2,7.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20330810546875, 282.2630920410156, 77.37730407714844, 293.2630920410156)"
2,Rules Regarding Residence,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23040771484375, 282.2630920410156, 261.16937255859375, 293.2630920410156)"
2,6-9,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(508.5715026855469, 282.2630920410156, 524.466552734375, 293.2630920410156)"
2,8.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20330810546875, 306.83978271484375, 77.37730407714844, 317.83978271484375)"
2,Payment of Hostel Fees,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23040771484375, 306.83978271484375, 241.6113739013672, 317.83978271484375)"
2,9-10,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(502.45379638671875, 306.83978271484375, 524.46484375, 317.83978271484375)"
2,9.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20339965820312, 331.41668701171875, 77.37739562988281, 342.41668701171875)"
2,Fees,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.23049926757812, 331.41668701171875, 148.68348693847656, 342.41668701171875)"
2,10-11,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(497.1518859863281, 331.41668701171875, 524.4678955078125, 342.41668701171875)"
2,10.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.2027587890625, 355.9933776855469, 83.49275207519531, 366.9933776855469)"
2,"The Mess, Dining Hall and Guests",ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.2298583984375, 355.9933776855469, 291.1218566894531, 366.9933776855469)"
2,11-12,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(497.1512451171875, 355.9933776855469, 524.4639282226562, 366.9933776855469)"
2,11.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20245361328125, 380.5702819824219, 82.67804718017578, 391.5702819824219)"
2,Visitors,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22944641113281, 380.5702819824219, 160.08953857421875, 391.5702819824219)"
2,12,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(512.2332153320312, 380.5702819824219, 524.4652709960938, 391.5702819824219)"
2,12.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20181274414062, 405.14697265625, 83.49180603027344, 416.14697265625)"
2,Return Timings and Night Leave,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22891235351562, 405.14697265625, 281.3518981933594, 416.14697265625)"
2,13,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(512.2322998046875, 405.14697265625, 524.46435546875, 416.14697265625)"
2,13.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20089721679688, 429.723876953125, 83.49089050292969, 440.723876953125)"
2,"Health, Bank and Post Office",ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22799682617188, 429.723876953125, 265.2715759277344, 440.723876953125)"
2,14,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(512.2319946289062, 429.723876953125, 524.4640502929688, 440.723876953125)"
2,14.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20059204101562, 454.30078125, 83.49058532714844, 465.30078125)"
2,Maintenance of Discipline,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22769165039062, 454.30078125, 249.5506591796875, 465.30078125)"
2,14-19,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(496.3332824707031, 454.30078125, 524.4603271484375, 465.30078125)"
2,15.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.20028686523438, 478.8774719238281, 83.49028015136719, 489.8774719238281)"
2,Additional Facilities,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22738647460938, 478.8774719238281, 218.36537170410156, 489.8774719238281)"
2,19,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(512.2313842773438, 478.8774719238281, 524.4634399414062, 489.8774719238281)"
2,16.,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(68.19998168945312, 503.4543762207031, 83.48997497558594, 514.4544067382812)"
2,Allocation of Seats,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(124.22708129882812, 503.4543762207031, 215.32907104492188, 514.4544067382812)"
2,20,ArialMT,11.0,regular,"(0, 0, 0)",#000000,"(512.2310791015625, 503.4543762207031, 524.463134765625, 514.4544067382812)"
2,The Geetanjali Hostel for women is a Hostel for residence of full-time women students of the South ,ArialMT,10.5,regular,"(0, 0, 0)",#000000,"(671.0396728515625, 59.676734924316406, 1141.9500732421875, 70.1767349243164)"
2,"Campus, University of Delhi.  It is the Hostel Management's objective to provide a comfortable, homely ",ArialMT,10.5,regular,"(0, 0, 0)",#000000,"(671.0379028320312, 71.9932632446289, 1141.9444580078125, 82.4932632446289)"
2,"stay, intellectual stimulation, cross cultural interaction and freedom with responsibility to the residents.  ",ArialMT,10.5,regular,"(0, 0, 0)",#000000,"(671.0355224609375, 84.3100357055664, 1145.2193603515625, 94.8100357055664)"
