page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI ,"Times New Roman,Bold",24.0,bold,"(0, 0, 0)",#000000,"(152.4199981689453, 73.07595825195312, 448.989990234375, 99.64395904541016)"
1,MASTER OF BUSINESS ADMINISTRATION ,"Times New Roman,Bold",15.96,bold,"(0, 0, 0)",#000000,"(119.77999877929688, 104.3595962524414, 479.1317443847656, 122.02731323242188)"
1,(FINANCIAL MANAGEMENT),"Times New Roman,Bold",15.96,bold,"(0, 0, 0)",#000000,"(174.6199951171875, 125.59964752197266, 419.8646545410156, 143.26736450195312)"
1,(Acronym for the Course) MBA (FM) ,"Times New Roman,Bold",14.04,bold,"(0, 0, 0)",#000000,"(169.82000732421875, 146.51031494140625, 428.9800109863281, 162.05259704589844)"
1,(,"Times New Roman,Bold",12.0,bold,"(0, 0, 0)",#000000,"(195.74000549316406, 164.76795959472656, 199.7360076904297, 178.0519561767578)"
1,Effective from Academic Year 2018-19)  ,Times New Roman,12.0,regular,"(0, 0, 0)",#000000,"(200.69000244140625, 164.76795959472656, 405.6700134277344, 178.0519561767578)"
1,PROGRAMME BROCHURE ,Times New Roman,20.04,regular,"(0, 0, 0)",#000000,"(176.17999267578125, 287.11431884765625, 424.1199951171875, 309.2986145019531)"
1,MBA (FM),Calibri,11.04,regular,"(91, 155, 213)",#5B9BD5,"(118.0999984741211, 664.0599365234375, 163.55169677734375, 675.0999755859375)"
1, Revised Syllabus as approved by Academic Council on ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(163.5800018310547, 664.0599365234375, 407.5888977050781, 675.0999755859375)"
1,"XXXX,",Calibri,11.04,regular,"(91, 155, 213)",#5B9BD5,"(407.7099914550781, 664.0599365234375, 433.3780212402344, 675.0999755859375)"
1, 2018 and ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(433.2699890136719, 664.0599365234375, 479.83502197265625, 675.0999755859375)"
1,Executive Council on ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(225.88999938964844, 687.4599609375, 320.63531494140625, 698.5)"
1,YYYY,Calibri,11.04,regular,"(91, 155, 213)",#5B9BD5,"(320.69000244140625, 687.4599609375, 342.129638671875, 698.5)"
1,", 2018 ",Calibri,11.04,regular,"(0, 0, 0)",#000000,"(342.07000732421875, 687.4599609375, 372.0450134277344, 698.5)"
