page,text,font_name,font_size,style,color_rgb,color_hex,bbox
1,UNIVERSITY OF DELHI  ,Arial-BoldMT,24.0,bold,"(0, 0, 0)",#000000,"(187.67999267578125, 52.48798370361328, 463.75189208984375, 85.94398498535156)"
1,MASTER OF SCIENCE  ,Arial,14.04,regular,"(0, 0, 0)",#000000,"(245.16000366210938, 80.91841888427734, 400.76531982421875, 100.08302307128906)"
1, IN ,Arial,14.04,regular,"(0, 0, 0)",#000000,"(310.0809631347656, 97.12056732177734, 331.85699462890625, 116.28517150878906)"
1,PLANT MOLECULAR BIOLOGY AND BIOTECHNOLOGY ,Arial-BoldMT,14.04,bold,"(0, 0, 0)",#000000,"(133.7947235107422, 113.98261260986328, 508.0169982910156, 133.5543670654297)"
1, (Effective from Academic Year 2019-20) ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(210.60000610351562, 146.28001403808594, 430.81201171875, 162.66000366210938)"
1,TWO YEAR FULL TIME PROGRAMME ,MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(227.16000366210938, 195.64173889160156, 414.6412658691406, 208.65789794921875)"
1,PROGRAMME BROCHURE,Arial-BoldMT,18.0,bold,"(0, 0, 0)",#000000,"(203.99398803710938, 270.8819885253906, 433.7819519042969, 295.9739990234375)"
1,Approved in the meeting of the FIAS held on ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(174.36000061035156, 516.9982299804688, 393.9013977050781, 532.06787109375)"
1,3rd July 2018,Arial-BoldMT,11.04,bold,"(0, 0, 0)",#000000,"(393.9566345214844, 517.2411499023438, 463.6851806640625, 532.6309204101562)"
1,"PMBB Revised Syllabus as approved by Academic Council on ________, 2018 and Executive Council on ",MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(64.9185562133789, 601.3550415039062, 577.02001953125, 614.3712158203125)"
1,"_______, 2018 ",MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(287.3966369628906, 629.9154663085938, 354.51983642578125, 642.931640625)"
2,"Department of Plant Molecular Biology, University of Delhi South Campus  ",MalgunGothicRegular,9.96,regular,"(0, 0, 0)",#000000,"(63.016639709472656, 31.8872127532959, 411.46722412109375, 43.63005447387695)"
2,2,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(315.9599914550781, 740.916015625, 321.9599914550781, 756.6840209960938)"
2,DEPARTMENT OF PLANT MOLECULAR BIOLOGY ,MalgunGothicBold,14.04,bold,"(0, 0, 0)",#000000,"(157.9199981689453, 169.63392639160156, 485.052001953125, 186.45384216308594)"
2,Faculty of Interdisciplinary and Applied Sciences ,MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(198.24000549316406, 205.2417755126953, 443.5708923339844, 218.2579345703125)"
2,"University of Delhi, South Campus ",MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(233.28099060058594, 224.3189239501953, 408.5299377441406, 237.3350830078125)"
2,"New Delhi – 110 021, ",MalgunGothicRegular,11.04,regular,"(0, 0, 0)",#000000,"(248.75906372070312, 245.80274963378906, 360.61627197265625, 258.81890869140625)"
2,India ,MalgunGothicRegular,12.96,regular,"(0, 0, 0)",#000000,"(360.6000061035156, 244.01425170898438, 393.8424377441406, 259.2940979003906)"
2,Contents ,Arial-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(311.0400085449219, 260.90399169921875, 366.33599853515625, 277.6319885253906)"
2,Page no ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(474.239990234375, 283.5119934082031, 515.8319702148438, 298.76397705078125)"
2,I. About the Department  ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(72.23999786376953, 305.8799743652344, 206.25599670410156, 322.2599792480469)"
2,3 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 306.552001953125, 499.3919982910156, 321.8039855957031)"
2,II. Introduction to CBCS  ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(72.23999786376953, 328.79998779296875, 204.93600463867188, 345.17999267578125)"
2,4 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 329.4718933105469, 499.3919982910156, 344.723876953125)"
2,a. Scope ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 351.7200012207031, 134.9759979248047, 368.1000061035156)"
2,4 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 352.5119934082031, 499.3919982910156, 367.76397705078125)"
2,b. Definitions,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 374.7599792480469, 153.72000122070312, 391.1399841308594)"
2,4 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 375.4320068359375, 499.3919982910156, 390.6839904785156)"
2,III. PMBB Programme Details ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(72.23999786376953, 397.67999267578125, 232.29600524902344, 414.05999755859375)"
2,6 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 398.3520202636719, 499.3919982910156, 413.60400390625)"
2,a. Programme Objectives (PSOs)  ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 420.7200012207031, 269.0159912109375, 437.1000061035156)"
2,6 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 421.3919982910156, 499.3919982910156, 436.64398193359375)"
2,b. ,Arial-BoldMT,11.04,bold,"(0, 0, 0)",#000000,"(82.31999969482422, 444.88128662109375, 95.23680114746094, 460.2710266113281)"
2,Programme Specific Outcomes (PSOs),Arial,11.04,regular,"(0, 0, 0)",#000000,"(95.27999877929688, 444.6383972167969, 286.61431884765625, 459.7080078125)"
2,6 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 444.31201171875, 499.3919982910156, 459.5639953613281)"
2,c. Programme Structure ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 466.67999267578125, 215.0160369873047, 483.05999755859375)"
2,6 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(490.55999755859375, 467.3520202636719, 499.3919982910156, 482.60400390625)"
2,d. Eligibility for Admissions ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 489.5999755859375, 229.7760009765625, 505.97998046875)"
2,10 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 490.2720031738281, 502.3919982910156, 505.52398681640625)"
2,e. Assessment of Students’ Performance and Scheme of ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 512.0400390625, 389.2560119628906, 528.4200439453125)"
2,Examination,Arial,12.0,regular,"(0, 0, 0)",#000000,"(60.2400016784668, 532.800048828125, 126.31201171875, 549.1800537109375)"
2,11 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 532.8720092773438, 502.39202880859375, 548.1240234375)"
2,f. Pass Percentage & Promotion Criteria ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 555.239990234375, 300.45611572265625, 571.6199951171875)"
2,14 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 555.9119873046875, 502.3919982910156, 571.1640014648438)"
2,g. Conversion of Marks into Grades ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 578.1600341796875, 276.33599853515625, 594.5400390625)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 578.83203125, 502.3919982910156, 594.0840454101562)"
2,h. Grade Points,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 601.2000122070312, 167.75999450683594, 617.5800170898438)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 601.8720092773438, 502.3919982910156, 617.1240234375)"
2,i. CGPA Calculation ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 624.1199951171875, 193.656005859375, 640.5)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 624.7919921875, 502.3919982910156, 640.0440063476562)"
2,i. ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 647.0400390625, 93.57599639892578, 663.4200439453125)"
2, SGPA calculation ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(99.5999984741211, 647.0400390625, 199.656005859375, 663.4200439453125)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 647.83203125, 502.3919982910156, 663.0840454101562)"
2,k. Grand SGPA calculation ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 670.0800170898438, 230.37599182128906, 686.4600219726562)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 670.7520141601562, 502.3919982910156, 686.0040283203125)"
2,l. Conversion of Grand CGPA into marks ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 693.0, 303.69598388671875, 709.3800048828125)"
2,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 693.6719970703125, 502.3919982910156, 708.9240112304688)"
3,"Department of Plant Molecular Biology, University of Delhi South Campus  ",MalgunGothicRegular,9.96,regular,"(0, 0, 0)",#000000,"(63.016639709472656, 31.8872127532959, 411.46722412109375, 43.63005447387695)"
3,3,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(315.9599914550781, 740.916015625, 321.9599914550781, 756.6840209960938)"
3,m. Division of Degree into Classes,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 54.11997604370117, 267.7200622558594, 70.4999771118164)"
3,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 54.79198455810547, 502.3919982910156, 70.04398345947266)"
3,n. Attendance Requirement,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 77.16001892089844, 230.3760528564453, 93.5400161743164)"
3,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 77.83202362060547, 502.3919982910156, 93.08402252197266)"
3,o. Span Period,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 100.08000183105469, 163.7519989013672, 116.45999908447266)"
3,15 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 100.75200653076172, 502.3919982910156, 116.0040054321289)"
3,p. Guidelines for the Award of Internal Assessment Marks  ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(84.23999786376953, 122.99998474121094, 397.0559997558594, 139.37997436523438)"
3,16 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 123.79198455810547, 502.3919982910156, 139.0439910888672)"
3,IV. Course Wise Content Details for PMBB Programme ,Arial,12.0,regular,"(0, 0, 0)",#000000,"(60.2400016784668, 146.04002380371094, 356.2560119628906, 162.42001342773438)"
3,18 ,Calibri,12.0,regular,"(0, 0, 0)",#000000,"(487.55999755859375, 146.7120361328125, 502.3919982910156, 161.9640350341797)"
4,"Department of Plant Molecular Biology, University of Delhi South Campus  ",MalgunGothicRegular,9.96,regular,"(0, 0, 0)",#000000,"(63.016639709472656, 31.8872127532959, 411.46722412109375, 43.63005447387695)"
4,4,TimesNewRomanPSMT,12.0,regular,"(0, 0, 0)",#000000,"(315.9599914550781, 740.916015625, 321.9599914550781, 756.6840209960938)"
4,I. About the Department ,Arial-BoldMT,12.0,bold,"(0, 0, 0)",#000000,"(63.84000015258789, 53.304019927978516, 203.135986328125, 70.03202056884766)"
4,The Department of Plant Molecular Biology was established in 1988 under the Faculty of Interdisciplinary ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.84000015258789, 73.95840454101562, 577.1222534179688, 89.02799987792969)"
4,and Applied Sciences to cater to the needs of students in frontier areas of plant biology and to carry out ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.84000015258789, 88.59744262695312, 577.2662963867188, 103.66703796386719)"
4,research on Molecular Aspects of Plant Biology and B iotechnology. The D epartment was enriched by ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.839996337890625, 103.23648071289062, 577.0672607421875, 118.30607604980469)"
4,"merger of the Unit for Plant Cell and Molecular Biology in 1988 (originally established by the DST), and ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.839996337890625, 117.87551879882812, 577.0673828125, 132.9451141357422)"
4,award of  C OSIST gr ant by  t he U GC ( 1990-1995). The  Department has  been r ecognized f or S pecial ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.839996337890625, 132.51455688476562, 577.2108764648438, 147.5841522216797)"
4,Assistance P rogramme ( DRS P hase I  t o P hase I II) by  t he U GC ( 2002-2018) t o s trengthen ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.85101318359375, 147.15359497070312, 577.2550048828125, 162.2231903076172)"
4,"research/teaching in the area of Functional Genomics. Since its establishment in 1988, Professor S.C. ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.85101318359375, 161.79263305664062, 577.1226196289062, 176.8622283935547)"
4,"Maheshwari (1988- 1992), Professor Akhilesh K. Tyagi (1988, 1992-95, 1998-2001), Professor Jitendra ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.85101318359375, 176.43167114257812, 577.2549438476562, 191.5012664794922)"
4,"P. Khurana (1995-1998, 2001- 2004, 2014 - 2016), Professor Paramjit Khurana (2004 - 2007, 2016- till ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862060546875, 191.07070922851562, 577.2772216796875, 206.1403045654297)"
4,"date), Professor Anil Grover (2007-2010), Professor I ndranil Dasgupta ( 2010 - 2013), and Professor ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 205.58828735351562, 577.2440795898438, 220.6578826904297)"
4,Madan Mohan (2013 - 2014) have served as Heads of the Department.  ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 220.22732543945312, 416.0159606933594, 235.2969207763672)"
4,"Faculty members of the Department have undertaken several prestigious projects, many of which were ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 234.86636352539062, 577.1555786132812, 249.9359588623047)"
4,"funded by the Rockefeller Rice Biotechnology Program, between the years 1990 and 2000, which helped ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 249.50540161132812, 577.2327270507812, 264.57501220703125)"
4,the Department make significant strides in acquiring expertise in transgenics and structural and ,Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 264.1444396972656, 577.0894775390625, 279.21405029296875)"
4,"functional anal ysis of  g enes. W ith t he begi nning of  t he new  millennium, faculty members of t he ",Arial,11.04,regular,"(0, 0, 0)",#000000,"(63.862030029296875, 278.7834777832031, 577.1776123046875, 293.85308837890625)"
